timestamp,agent.name,rule.description,rule.level,rule.id
"Jan 8, 2026 @ 16:55:28.128",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.121",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.121",ubuntu-devangs,Multiple authentication failures.,10,40111
"Jan 8, 2026 @ 16:55:28.114",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.107",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.107",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.099",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.099",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.091",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.091",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.091",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.080",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.080",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.071",ubuntu-devangs,syslog: User missed the password more than one time,10,2502
"Jan 8, 2026 @ 16:55:28.071",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.064",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.064",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.064",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.056",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.056",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.056",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.049",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.049",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.049",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.043",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.043",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.043",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:28.036",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.066",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.066",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.066",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.058",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.058",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.058",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.058",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.058",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.052",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.051",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.051",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.051",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.051",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:26.039",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.072",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.064",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.064",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.064",ubuntu-devangs,sshd: brute force trying to get access to the system. Authentication failed.,10,5763
"Jan 8, 2026 @ 16:55:22.064",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.064",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.064",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.053",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.052",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.052",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.052",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.052",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.052",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:22.039",ubuntu-devangs,sshd: authentication failed.,5,5760
"Jan 8, 2026 @ 16:55:20.068",ubuntu-devangs,PAM: User login failed.,5,5503
"Jan 8, 2026 @ 16:55:20.060",ubuntu-devangs,PAM: Multiple failed logins in a small period of time.,10,5551
"Jan 8, 2026 @ 16:55:20.060",ubuntu-devangs,PAM: User login failed.,5,5503
"Jan 8, 2026 @ 16:55:20.060",ubuntu-devangs,PAM: User login failed.,5,5503
"Jan 8, 2026 @ 16:55:20.060",ubuntu-devangs,PAM: User login failed.,5,5503
"Jan 8, 2026 @ 16:55:20.053",ubuntu-devangs,PAM: User login failed.,5,5503
