agent.name,package.name,package.version,vulnerability.description,vulnerability.severity,vulnerability.id
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Windows DWM Core Library allows an authorized attacker to elevate privileges locally.,High,CVE-2025-64680
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Heap-based buffer overflow in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to execute code over a network.,High,CVE-2025-64678
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Improper access control in Storvsp.sys Driver allows an authorized attacker to elevate privileges locally.,High,CVE-2025-64673
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows DirectX allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62573
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Integer underflow (wrap or wraparound) in Windows Hyper-V allows an authorized attacker to deny service over a network.,Medium,CVE-2025-62567
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use after free in Windows Shell allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62565
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Untrusted pointer dereference in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to execute code over a network.,High,CVE-2025-62549
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Use of uninitialized resource in Windows Remote Access Connection Manager allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62472
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Integer overflow or wraparound in Windows Projected File System allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62467
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Buffer over-read in Windows Projected File System allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62464
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Buffer over-read in Windows Projected File System Filter Driver allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62461
jamod-win10,Microsoft Windows 10 Home 10.0.19045.3803,10.0.19045.3803,Out-of-bounds read in Windows Cloud Files Mini Filter Driver allows an authorized attacker to elevate privileges locally.,High,CVE-2025-62457
