timestamp,agent.name,data.vulnerability.cve,data.vulnerability.severity,data.vulnerability.package.name,data.vulnerability.package.version,data.vulnerability.status
"Jan 9, 2026 @ 14:24:27.884",aditys-agent,CVE-2025-64660,High,Microsoft Visual Studio Code (User),1.104.0,Active
"Jan 9, 2026 @ 14:24:27.865",aditys-agent,CVE-2025-62453,Medium,Microsoft Visual Studio Code (User),1.104.0,Active
"Jan 9, 2026 @ 12:29:58.496",aditys-agent,CVE-2025-62215,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.484",aditys-agent,CVE-2025-62213,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.472",aditys-agent,CVE-2025-62472,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.460",aditys-agent,CVE-2025-60703,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.450",aditys-agent,CVE-2025-60724,Critical,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.437",aditys-agent,CVE-2025-60723,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.426",aditys-agent,CVE-2025-60717,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.416",aditys-agent,CVE-2025-60716,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.405",aditys-agent,CVE-2025-62221,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.394",aditys-agent,CVE-2025-59515,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.382",aditys-agent,CVE-2025-59511,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.358",aditys-agent,CVE-2025-60720,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.347",aditys-agent,CVE-2025-59509,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.335",aditys-agent,CVE-2025-60715,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.324",aditys-agent,CVE-2025-55233,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.314",aditys-agent,CVE-2025-54100,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.303",aditys-agent,CVE-2025-59510,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.292",aditys-agent,CVE-2025-59506,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.280",aditys-agent,CVE-2025-59514,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.264",aditys-agent,CVE-2025-62463,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.253",aditys-agent,CVE-2025-62454,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.243",aditys-agent,CVE-2025-64670,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.233",aditys-agent,CVE-2025-59516,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.221",aditys-agent,CVE-2025-60706,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.209",aditys-agent,CVE-2025-62466,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.199",aditys-agent,CVE-2025-60709,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.183",aditys-agent,CVE-2025-60719,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.170",aditys-agent,CVE-2025-62565,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.160",aditys-agent,CVE-2025-64673,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.146",aditys-agent,CVE-2025-60707,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.136",aditys-agent,CVE-2025-62573,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.125",aditys-agent,CVE-2025-62473,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.114",aditys-agent,CVE-2025-59512,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.101",aditys-agent,CVE-2025-60705,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.090",aditys-agent,CVE-2025-62474,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.079",aditys-agent,CVE-2025-59505,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.066",aditys-agent,CVE-2025-62458,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.055",aditys-agent,CVE-2025-62571,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.044",aditys-agent,CVE-2025-64658,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.033",aditys-agent,CVE-2025-62470,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.022",aditys-agent,CVE-2025-62457,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.012",aditys-agent,CVE-2025-60704,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:58.001",aditys-agent,CVE-2025-59507,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.990",aditys-agent,CVE-2025-60714,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.979",aditys-agent,CVE-2025-64661,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.967",aditys-agent,CVE-2025-59513,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.952",aditys-agent,CVE-2025-60708,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.941",aditys-agent,CVE-2025-62549,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.929",aditys-agent,CVE-2025-62467,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.918",aditys-agent,CVE-2025-62217,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.904",aditys-agent,CVE-2025-64678,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.893",aditys-agent,CVE-2025-62567,Medium,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.882",aditys-agent,CVE-2025-62218,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.861",aditys-agent,CVE-2025-62219,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.830",aditys-agent,CVE-2025-62452,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.810",aditys-agent,CVE-2025-59508,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.798",aditys-agent,CVE-2025-62455,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.786",aditys-agent,CVE-2025-62461,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.776",aditys-agent,CVE-2025-59517,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.761",aditys-agent,CVE-2025-62462,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 9, 2026 @ 12:29:57.750",aditys-agent,CVE-2025-62464,High,Microsoft Windows 10 Pro,10.0.19045.6466,Active
"Jan 8, 2026 @ 14:54:36.902",ubuntu-devangs,CVE-2025-48384,High,git-man,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.891",ubuntu-devangs,CVE-2025-48386,Medium,git-man,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.881",ubuntu-devangs,CVE-2024-52005,High,git-man,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.870",ubuntu-devangs,CVE-2025-46835,High,git-man,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.859",ubuntu-devangs,CVE-2025-27613,Low,git-man,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.849",ubuntu-devangs,CVE-2025-48384,High,git,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.839",ubuntu-devangs,CVE-2025-48386,Medium,git,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.828",ubuntu-devangs,CVE-2024-52005,High,git,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.817",ubuntu-devangs,CVE-2025-46835,High,git,1:2.25.1-1ubuntu3.14,Active
"Jan 8, 2026 @ 14:54:36.806",ubuntu-devangs,CVE-2025-27613,Low,git,1:2.25.1-1ubuntu3.14,Active
